n,osqp_iter,osqp_runtime,gurobi_iter,gurobi_runtime
10,26.1904761905,0.000210222931613,7.61904761905,0.00331778753371
20,26.1904761905,0.00050196503355,8.0,0.0203713916597
30,26.1904761905,0.000894654057119,8.2380952381,0.00789042881557
50,26.1904761905,0.00246640801284,8.2380952381,0.0206731160482
80,30.9523809524,0.00769795117053,8.61904761905,0.046283086141
100,26.1904761905,0.0119769643076,8.42857142857,0.0983442578997
150,26.1904761905,0.024487560476,8.71428571429,0.189578192575
200,34.5238095238,0.0700847371716,8.71428571429,0.373655319214
250,26.1904761905,0.0945447037242,8.61904761905,0.658945356097
300,45.2380952381,0.200431467141,8.95238095238,1.18804813567
350,32.1428571429,0.191888795714,8.85714285714,1.62554986136
400,33.3333333333,0.228484773469,8.90476190476,2.68376386733
