n,osqp_iter,osqp_runtime,gurobi_iter,gurobi_runtime,qpoases_iter,qpoases_runtime,cvxgen_runtime,fiordos_runtime
50,54.54545454545455,0.0001402242727272727,11.818181818181818,0.0006891814145174893,8.363636363636363,0.0004770972511985085,0.00020453436363636362,0.0008344085454545454
80,52.27272727272727,0.000128462,11.727272727272727,0.0012080019170587714,13.545454545454545,0.0015587589957497337,0.0004033856363636363,0.0008653555454545454
100,59.09090909090909,0.00023773454545454546,13.545454545454545,0.0015543157404119318,15.545454545454545,0.0022112889723344283,0.0004004884545454545,0.0023688813636363634
120,56.81818181818182,0.00038882472727272735,12.454545454545455,0.0027080015702681108,15.727272727272727,0.0032475428147749467,0.0006990920909090909,0.002001716909090909
150,63.63636363636363,0.0005957936363636363,13.0,0.0022791298952969637,21.90909090909091,0.007181644439697266,,0.0023625082727272723
200,86.36363636363636,0.0011212352727272728,14.272727272727273,0.0037841796875,25.818181818181817,0.012910105965354225,,0.03884409190909091
250,56.81818181818182,0.001549030818181818,12.818181818181818,0.003964424133300781,31.727272727272727,0.01821435581554066,,0.027913494000000004
300,68.18181818181819,0.002132664818181818,12.545454545454545,0.007173169742931019,36.18181818181818,0.06330865079706366,,0.023900125545454544
400,63.63636363636363,0.003408368272727273,12.818181818181818,0.010052962736649946,45.0,0.06480732831087979,,0.040577159
500,68.18181818181819,0.009142080636363636,12.545454545454545,0.016780094666914505,51.81818181818182,0.1890913573178378,,0.10656934281818181
